Vardas         Pavarde        ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas27       Pavarde27      5      1      5      10     10     1      10     4      4      4      5      0      2      6      10     7      
Vardas28       Pavarde28      9      3      2      1      8      0      6      0      7      3      0      0      6      4      1      4      
Vardas29       Pavarde29      6      4      4      10     4      3      3      8      9      9      0      9      5      3      8      2      
Vardas30       Pavarde30      3      1      3      8      5      1      5      5      10     0      3      9      8      9      7      8      
Vardas31       Pavarde31      5      7      4      0      8      10     1      4      4      9      9      7      7      6      0      10     
Vardas32       Pavarde32      10     6      8      2      3      4      4      4      6      8      2      4      5      0      4      9      
Vardas33       Pavarde33      3      10     7      2      10     1      9      1      0      2      10     9      2      6      4      3      
Vardas34       Pavarde34      8      7      2      0      9      0      6      7      7      5      6      10     7      3      5      7      
Vardas35       Pavarde35      6      10     7      4      10     8      8      3      8      8      5      9      2      7      3      1      
Vardas36       Pavarde36      4      8      6      3      6      6      10     2      2      5      8      0      2      3      6      3      
Vardas37       Pavarde37      4      1      8      7      5      10     10     0      0      8      1      4      2      4      9      0      
Vardas38       Pavarde38      7      7      7      4      4      6      3      7      4      5      2      6      3      7      0      0      
Vardas39       Pavarde39      7      10     3      4      10     3      7      0      2      8      6      10     5      9      1      10     
Vardas40       Pavarde40      4      2      5      7      1      2      9      6      5      7      0      3      1      5      9      5      
Vardas41       Pavarde41      6      7      1      7      10     3      6      8      10     7      6      9      3      0      1      3      
Vardas42       Pavarde42      4      8      7      4      1      0      3      8      6      9      10     9      6      6      8      2      
Vardas43       Pavarde43      1      6      4      8      4      9      1      6      7      5      10     1      4      1      8      3      
Vardas44       Pavarde44      5      1      1      2      3      3      10     4      1      8      5      0      8      10     6      7      
Vardas45       Pavarde45      1      7      6      0      3      6      1      9      4      7      6      1      3      6      7      5      
Vardas46       Pavarde46      8      3      5      7      1      4      0      4      3      3      10     8      6      7      10     1      
Vardas47       Pavarde47      0      1      3      5      1      2      1      5      0      5      8      1      1      9      0      3      
Vardas48       Pavarde48      7      3      1      7      5      9      2      4      3      7      8      2      0      4      4      0      
Vardas49       Pavarde49      8      3      9      9      6      5      5      0      7      8      3      10     5      3      8      5      
Vardas50       Pavarde50      7      1      5      4      1      5      9      0      2      10     5      2      6      3      10     1      
Vardas51       Pavarde51      10     9      1      0      3      8      3      2      10     2      7      4      8      10     9      5      
Vardas52       Pavarde52      5      2      2      1      1      6      3      10     0      6      9      6      9      2      7      10     
Vardas53       Pavarde53      3      6      0      8      3      5      7      0      10     1      0      2      4      3      5      9      
Vardas54       Pavarde54      4      5      0      7      0      8      9      2      0      2      9      6      2      6      6      8      
Vardas55       Pavarde55      9      7      5      0      5      10     10     5      4      0      1      4      5      10     4      0      
Vardas56       Pavarde56      6      5      1      9      3      0      6      9      3      2      10     6      3      9      0      0      
Vardas57       Pavarde57      9      8      10     0      6      10     0      4      6      0      7      6      9      6      9      4      
Vardas58       Pavarde58      8      0      6      6      1      7      8      3      6      6      2      2      6      10     5      10     
Vardas59       Pavarde59      5      8      2      6      3      4      1      6      1      9      3      0      3      4      4      7      
Vardas60       Pavarde60      6      3      7      9      0      9      5      10     3      4      8      9      0      7      10     0      
Vardas61       Pavarde61      3      0      4      7      4      5      2      5      10     8      6      1      5      7      5      9      
Vardas62       Pavarde62      8      10     1      2      3      8      7      10     0      2      10     3      3      9      9      0      
Vardas63       Pavarde63      9      3      2      9      6      1      8      5      10     4      9      0      4      9      9      5      
Vardas64       Pavarde64      0      7      7      9      3      8      8      0      1      7      6      1      5      8      6      10     
Vardas65       Pavarde65      3      6      2      3      9      7      0      9      3      10     9      7      4      3      3      3      
Vardas66       Pavarde66      8      9      5      0      2      2      0      1      0      0      9      5      2      3      6      5      
Vardas67       Pavarde67      0      7      10     6      3      4      9      9      5      5      9      5      7      5      1      8      
Vardas68       Pavarde68      7      10     0      6      10     6      0      8      4      5      10     0      9      2      1      6      
Vardas69       Pavarde69      4      0      8      3      6      8      10     10     10     6      5      8      9      0      9      8      
Vardas70       Pavarde70      6      4      3      3      8      5      1      1      10     0      4      2      9      2      9      5      
Vardas71       Pavarde71      10     10     0      5      7      0      5      10     6      2      3      3      3      1      4      2      
Vardas72       Pavarde72      0      0      0      5      10     3      4      5      4      0      10     9      3      4      2      0      
Vardas73       Pavarde73      4      6      4      3      9      0      1      6      5      10     6      2      1      8      1      3      
Vardas74       Pavarde74      1      7      7      6      4      3      0      7      10     3      9      8      3      3      0      3      
Vardas75       Pavarde75      9      8      7      9      5      3      5      4      8      4      10     6      7      6      5      1      
Vardas76       Pavarde76      10     6      9      10     5      8      3      5      9      1      6      7      8      4      0      9      
Vardas77       Pavarde77      7      7      6      5      7      6      3      0      10     3      3      2      1      10     4      9      
Vardas78       Pavarde78      7      10     7      9      3      6      5      0      6      8      5      9      9      5      2      5      
Vardas79       Pavarde79      1      5      3      10     3      0      8      0      8      4      2      1      8      5      10     1      
Vardas80       Pavarde80      2      10     6      9      4      5      3      4      2      6      9      9      2      0      6      10     
Vardas81       Pavarde81      9      7      0      3      3      0      10     1      8      1      1      10     9      8      4      5      
Vardas82       Pavarde82      5      7      1      4      9      1      1      0      0      7      6      10     10     2      10     3      
Vardas83       Pavarde83      9      8      10     6      1      8      5      0      8      7      7      7      7      8      6      7      
Vardas84       Pavarde84      0      0      9      3      9      9      9      8      8      10     5      8      9      4      0      8      
Vardas85       Pavarde85      3      7      10     7      1      6      8      1      9      0      10     6      5      2      5      3      
Vardas86       Pavarde86      5      8      1      7      5      4      7      9      7      8      9      10     8      9      4      3      
Vardas87       Pavarde87      8      7      1      10     3      4      4      9      7      3      4      9      1      6      5      3      
Vardas88       Pavarde88      2      0      9      0      8      9      7      10     2      7      8      7      4      7      8      5      
Vardas89       Pavarde89      3      9      2      9      2      8      8      6      5      8      1      1      10     8      6      3      
Vardas90       Pavarde90      10     1      10     9      10     2      4      9      9      2      2      4      6      0      1      1      
Vardas91       Pavarde91      10     3      9      9      6      5      6      3      0      7      10     8      0      4      8      6      
Vardas92       Pavarde92      1      4      6      9      6      5      4      9      7      7      6      1      8      2      8      8      
Vardas93       Pavarde93      7      10     3      2      0      7      8      1      8      5      0      9      3      9      4      7      
Vardas94       Pavarde94      7      1      10     10     9      9      4      4      8      2      5      8      10     4      5      8      
Vardas95       Pavarde95      1      6      5      3      1      3      6      0      8      4      3      6      8      5      0      6      
Vardas96       Pavarde96      4      0      5      7      6      1      0      3      8      10     1      0      10     3      1      3      
Vardas97       Pavarde97      2      10     8      1      5      8      0      6      0      7      6      6      1      4      3      1      
Vardas98       Pavarde98      4      3      1      8      0      3      7      8      10     7      10     6      0      7      1      6      
Vardas99       Pavarde99      6      4      8      5      9      8      10     10     2      9      1      10     5      0      6      0      
Vardas100      Pavarde100     5      7      3      7      7      2      3      1      9      5      9      8      2      8      9      7      
Vardas101      Pavarde101     8      7      2      10     5      6      2      3      10     5      0      3      2      6      4      7      
Vardas102      Pavarde102     6      3      10     9      5      6      1      1      8      8      6      4      8      3      6      5      
Vardas103      Pavarde103     9      0      3      5      4      8      3      7      8      0      7      10     7      5      7      7      
Vardas104      Pavarde104     1      4      0      7      7      10     7      8      7      2      7      4      9      3      7      10     
Vardas105      Pavarde105     6      2      8      2      2      0      9      5      9      10     10     6      7      7      8      2      
Vardas106      Pavarde106     9      3      6      7      0      9      5      10     6      7      3      9      7      5      6      3      
Vardas107      Pavarde107     0      2      6      6      7      1      0      0      9      0      7      3      4      8      1      0      
Vardas108      Pavarde108     2      2      5      5      6      4      9      5      4      6      7      5      0      9      10     8      
Vardas109      Pavarde109     10     4      8      3      2      5      4      5      0      0      1      5      7      9      5      6      
Vardas110      Pavarde110     8      10     1      7      10     8      8      5      9      3      3      2      3      0      6      1      
Vardas111      Pavarde111     8      4      5      6      3      2      4      9      7      2      3      3      4      10     10     3      
Vardas112      Pavarde112     0      3      5      6      6      7      4      1      2      3      7      7      5      3      4      6      
Vardas113      Pavarde113     7      10     1      0      4      1      3      10     5      5      7      0      6      8      7      3      
Vardas114      Pavarde114     8      2      8      5      1      10     0      3      8      6      9      7      3      7      9      1      
Vardas115      Pavarde115     0      8      5      1      3      0      10     4      7      10     9      10     2      2      6      3      
Vardas116      Pavarde116     10     0      8      7      10     7      3      1      6      3      3      4      5      3      2      10     
Vardas117      Pavarde117     2      3      5      7      9      1      8      0      6      7      3      8      0      4      0      8      
Vardas118      Pavarde118     7      0      10     5      4      9      10     4      7      1      4      9      4      4      5      2      
Vardas119      Pavarde119     10     0      0      8      10     2      9      5      10     5      3      1      10     2      1      6      
Vardas120      Pavarde120     8      5      9      4      2      4      3      4      0      8      8      0      5      9      10     5      
Vardas121      Pavarde121     2      9      7      3      5      6      1      1      0      4      4      8      9      0      3      8      
Vardas122      Pavarde122     0      4      8      5      10     8      8      7      8      10     3      2      10     10     0      3      
Vardas123      Pavarde123     7      8      1      8      6      2      10     10     4      8      4      9      0      4      3      9      
Vardas124      Pavarde124     0      3      8      7      0      2      5      3      9      2      4      0      6      6      9      4      
Vardas125      Pavarde125     9      8      6      5      7      10     4      8      4      7      1      10     0      9      5      8      
Vardas126      Pavarde126     6      9      4      6      0      2      4      8      2      3      5      6      2      7      0      0      
Vardas127      Pavarde127     9      0      0      9      2      1      6      1      9      0      2      5      7      10     9      5      
Vardas128      Pavarde128     0      5      8      10     3      7      6      2      9      6      1      1      2      10     0      2      
Vardas129      Pavarde129     5      3      5      5      6      4      1      1      5      1      1      9      3      7      9      7      
Vardas130      Pavarde130     2      2      3      2      3      8      10     7      7      0      2      6      5      4      10     0      
Vardas131      Pavarde131     9      1      6      8      3      5      7      4      3      0      9      8      2      3      8      3      
Vardas132      Pavarde132     10     6      3      9      7      0      6      3      4      5      5      3      5      5      1      4      
Vardas133      Pavarde133     9      4      9      8      8      1      10     5      3      10     8      8      6      5      5      4      
Vardas134      Pavarde134     1      0      9      7      9      5      2      8      7      1      1      6      9      0      3      10     
Vardas135      Pavarde135     9      4      8      1      5      4      4      5      10     5      8      1      4      8      10     0      
Vardas136      Pavarde136     5      7      0      5      5      8      5      9      5      10     4      3      2      3      5      7      
Vardas137      Pavarde137     6      10     1      8      6      8      9      1      4      10     9      7      6      10     1      1      
Vardas138      Pavarde138     7      5      2      3      1      10     8      1      0      10     2      3      5      7      10     9      
Vardas139      Pavarde139     7      9      3      7      8      4      5      10     0      4      4      10     7      0      1      7      
Vardas140      Pavarde140     7      5      8      0      5      2      4      1      10     2      1      9      2      7      5      9      
Vardas141      Pavarde141     7      3      0      10     1      10     5      5      8      10     3      7      7      0      5      6      
Vardas142      Pavarde142     9      1      8      7      7      4      10     6      7      6      5      4      3      5      1      2      
Vardas143      Pavarde143     8      8      6      5      4      6      1      3      1      8      10     6      2      7      6      4      
Vardas144      Pavarde144     8      8      10     6      6      1      4      5      4      8      8      9      8      2      1      6      
Vardas145      Pavarde145     0      2      7      5      2      8      4      7      10     3      10     0      10     6      8      0      
Vardas146      Pavarde146     0      8      0      8      4      1      0      3      0      1      10     2      8      5      7      1      
Vardas147      Pavarde147     9      3      2      8      6      5      4      3      9      3      10     9      1      6      10     2      
Vardas148      Pavarde148     5      3      4      8      6      5      4      10     6      8      4      3      3      0      8      10     
Vardas149      Pavarde149     0      7      6      1      5      0      8      7      9      2      2      0      3      7      3      6      
Vardas150      Pavarde150     4      7      7      10     8      7      2      0      6      0      0      3      5      10     7      1      
Vardas151      Pavarde151     2      4      6      8      6      7      1      8      6      8      4      4      4      2      6      5      
Vardas152      Pavarde152     1      9      0      7      2      0      8      4      9      5      7      7      10     10     0      1      
Vardas153      Pavarde153     2      2      0      4      2      2      9      0      4      0      5      1      7      0      9      8      
Vardas154      Pavarde154     0      8      5      1      3      9      8      1      8      2      5      1      9      1      4      1      
Vardas155      Pavarde155     3      9      10     6      3      7      8      4      6      2      2      9      1      7      5      5      
Vardas156      Pavarde156     7      3      4      5      6      1      10     0      1      9      6      3      0      6      6      10     
Vardas157      Pavarde157     5      0      8      3      9      7      2      8      3      1      0      4      2      7      6      7      
Vardas158      Pavarde158     2      4      4      1      8      10     3      7      9      3      4      6      7      7      0      8      
Vardas159      Pavarde159     8      2      6      9      5      4      4      0      10     6      4      7      5      10     8      2      
Vardas160      Pavarde160     1      1      5      3      9      9      5      10     3      2      7      1      8      10     9      3      
Vardas161      Pavarde161     10     6      6      7      6      2      3      0      8      7      4      8      10     2      4      9      
Vardas162      Pavarde162     5      2      7      7      8      5      8      2      7      8      6      3      0      8      3      8      
Vardas163      Pavarde163     3      4      8      6      6      10     5      0      3      7      5      1      2      4      3      5      
Vardas164      Pavarde164     7      6      9      8      8      8      8      4      6      1      7      0      6      7      2      7      
Vardas165      Pavarde165     3      10     0      8      4      1      2      6      7      2      8      10     9      10     9      1      
Vardas166      Pavarde166     4      5      7      9      7      3      3      0      0      1      8      7      2      6      5      5      
Vardas167      Pavarde167     3      5      5      0      9      1      4      0      9      1      9      4      9      1      1      6      
Vardas168      Pavarde168     5      1      8      8      1      6      2      1      7      8      8      6      1      1      5      1      
Vardas169      Pavarde169     9      8      0      4      6      9      6      8      8      9      3      0      7      8      10     1      
Vardas170      Pavarde170     6      8      4      9      1      9      9      2      6      4      0      1      0      1      9      8      
Vardas171      Pavarde171     7      3      2      0      5      9      2      8      2      6      10     3      1      6      6      7      
Vardas172      Pavarde172     2      1      0      1      3      10     2      5      0      3      4      6      5      8      1      8      
Vardas173      Pavarde173     3      5      10     5      3      2      1      5      6      1      9      4      2      8      5      6      
Vardas174      Pavarde174     7      1      8      3      5      0      1      2      1      7      6      8      3      10     5      8      
Vardas175      Pavarde175     10     1      4      5      0      10     9      10     2      1      7      4      6      9      10     6      
Vardas176      Pavarde176     0      3      3      9      9      7      3      10     8      0      6      10     4      7      10     9      
Vardas177      Pavarde177     8      0      7      1      3      10     0      8      10     3      4      1      1      4      2      2      
Vardas178      Pavarde178     10     1      1      10     7      9      1      4      4      7      0      6      3      6      10     1      
Vardas179      Pavarde179     4      6      3      6      10     2      10     9      4      2      2      5      3      5      1      2      
Vardas180      Pavarde180     6      5      6      0      1      4      4      4      2      4      6      9      3      6      4      0      
Vardas181      Pavarde181     0      1      4      5      2      0      5      2      9      0      10     4      3      4      4      5      
Vardas182      Pavarde182     5      10     1      7      0      8      5      3      8      0      6      9      1      4      5      4      
Vardas183      Pavarde183     7      2      4      9      6      7      0      0      10     7      5      9      6      8      6      0      
Vardas184      Pavarde184     9      7      1      10     3      9      1      4      2      3      9      0      3      6      0      8      
Vardas185      Pavarde185     2      7      0      8      4      2      9      7      4      4      10     7      0      10     8      1      
Vardas186      Pavarde186     3      2      5      10     2      4      0      0      0      2      6      7      7      1      0      8      
Vardas187      Pavarde187     5      5      0      8      0      9      2      6      2      7      3      10     2      7      4      10     
Vardas188      Pavarde188     9      7      8      0      4      2      7      10     0      8      7      0      4      6      10     5      
Vardas189      Pavarde189     7      5      7      2      5      8      0      7      5      0      4      1      2      8      6      3      
Vardas190      Pavarde190     8      0      2      7      0      0      0      6      1      4      10     8      1      3      0      9      
Vardas191      Pavarde191     6      3      8      3      10     0      2      9      2      3      0      4      2      9      10     2      
Vardas192      Pavarde192     9      2      3      3      8      4      4      1      5      6      7      5      8      8      8      10     
Vardas193      Pavarde193     6      8      5      7      8      9      0      0      4      4      6      2      4      0      8      7      
Vardas194      Pavarde194     6      5      9      4      1      1      4      7      7      0      6      7      1      1      2      9      
Vardas195      Pavarde195     8      10     7      9      0      9      6      8      3      4      2      1      9      0      6      4      
Vardas196      Pavarde196     1      10     8      10     5      7      8      7      3      2      1      3      4      4      7      9      
Vardas197      Pavarde197     9      2      7      9      3      3      10     9      5      3      6      9      10     0      9      10     
Vardas198      Pavarde198     2      8      1      2      5      9      0      7      0      4      2      7      2      8      2      8      
Vardas199      Pavarde199     9      5      7      0      8      2      4      1      5      8      6      0      9      3      4      2      
Vardas200      Pavarde200     6      5      8      2      9      6      2      8      8      7      5      5      4      6      4      8      
Vardas201      Pavarde201     2      0      10     9      1      10     4      10     6      1      2      10     1      3      3      4      
Vardas202      Pavarde202     4      3      3      2      4      5      1      8      6      10     3      1      1      0      7      1      
Vardas203      Pavarde203     5      5      10     2      7      2      8      10     8      1      3      3      4      6      4      1      
Vardas204      Pavarde204     2      3      6      6      4      4      10     0      5      10     9      10     9      3      8      9      
Vardas205      Pavarde205     1      3      3      5      4      8      9      5      8      10     5      1      10     7      2      5      
Vardas206      Pavarde206     2      8      6      9      10     0      2      5      10     3      10     8      9      7      10     4      
Vardas207      Pavarde207     10     2      0      4      1      8      6      2      1      1      10     7      6      1      3      4      
Vardas208      Pavarde208     10     5      2      1      7      2      8      3      0      6      1      2      9      6      9      1      
Vardas209      Pavarde209     3      0      9      5      1      4      3      9      1      9      3      3      2      4      4      6      
Vardas210      Pavarde210     1      1      3      3      3      5      5      5      3      6      2      4      6      3      0      0      
Vardas211      Pavarde211     8      4      2      6      6      8      10     6      0      3      3      6      8      7      7      0      
Vardas212      Pavarde212     4      10     2      9      4      1      5      0      1      10     0      8      3      4      7      8      
Vardas213      Pavarde213     5      4      0      6      10     9      5      2      6      10     3      4      6      5      5      7      
Vardas214      Pavarde214     5      2      6      0      6      8      0      6      10     1      4      5      0      2      1      2      
Vardas215      Pavarde215     2      1      6      6      5      8      7      6      6      7      1      2      2      4      0      9      
Vardas216      Pavarde216     3      6      6      5      0      2      5      3      2      5      4      7      5      0      7      6      
Vardas217      Pavarde217     6      9      4      3      9      9      8      6      5      3      1      4      8      5      6      4      
Vardas218      Pavarde218     1      7      6      10     6      1      8      0      10     9      4      6      4      4      5      6      
Vardas219      Pavarde219     9      9      10     8      6      8      3      5      4      10     0      3      1      2      7      9      
Vardas220      Pavarde220     5      7      5      5      5      7      1      1      9      6      7      8      7      3      10     7      
Vardas221      Pavarde221     10     2      1      1      1      9      8      7      8      10     2      6      9      6      7      5      
Vardas222      Pavarde222     2      7      9      4      4      8      1      8      6      7      7      5      9      10     8      6      
Vardas223      Pavarde223     5      3      2      0      7      10     1      10     1      3      6      5      10     4      4      8      
Vardas224      Pavarde224     2      9      1      3      0      9      5      9      4      9      9      4      5      4      8      8      
Vardas225      Pavarde225     1      9      1      0      10     2      3      3      8      1      5      3      7      2      8      10     
Vardas226      Pavarde226     0      8      10     9      2      9      3      6      9      0      10     3      9      0      4      2      
Vardas227      Pavarde227     2      8      10     8      8      5      0      8      4      1      7      10     10     8      10     0      
Vardas228      Pavarde228     1      9      9      10     7      6      10     2      2      6      0      8      5      0      9      8      
Vardas229      Pavarde229     9      4      2      7      4      6      5      9      1      0      8      4      4      10     2      0      
Vardas230      Pavarde230     4      7      0      2      3      6      7      10     6      1      6      10     7      5      1      2      
Vardas231      Pavarde231     9      9      8      5      4      2      6      9      7      8      2      10     5      6      1      2      
Vardas232      Pavarde232     4      6      4      1      8      2      1      1      0      10     9      9      4      10     2      4      
Vardas233      Pavarde233     8      3      2      4      8      4      4      7      10     7      8      4      5      0      10     2      
Vardas234      Pavarde234     4      10     0      2      5      5      5      7      10     9      7      8      4      0      8      7      
Vardas235      Pavarde235     1      4      10     8      3      10     6      3      8      1      7      7      4      2      8      8      
Vardas236      Pavarde236     6      1      1      6      9      2      7      7      2      0      0      7      6      7      10     8      
Vardas237      Pavarde237     5      8      2      7      6      1      5      2      7      3      6      8      6      6      8      7      
Vardas238      Pavarde238     10     4      6      9      4      6      3      4      8      3      2      8      5      9      10     10     
Vardas239      Pavarde239     7      3      8      6      8      2      9      6      0      1      10     10     2      6      8      7      
Vardas240      Pavarde240     8      2      9      5      9      4      2      9      10     8      1      6      9      0      2      8      
Vardas241      Pavarde241     10     7      1      0      8      9      2      4      4      2      6      6      10     8      1      6      
Vardas242      Pavarde242     0      8      9      8      8      3      9      2      8      0      3      0      3      6      9      2      
Vardas243      Pavarde243     1      2      2      10     6      8      1      2      6      9      7      5      8      0      0      2      
Vardas244      Pavarde244     10     1      5      7      6      9      7      0      3      4      7      3      9      4      6      2      
Vardas245      Pavarde245     7      4      6      7      10     10     6      1      9      0      10     10     2      9      5      4      
Vardas246      Pavarde246     4      9      9      7      3      9      7      4      9      1      5      0      7      6      6      5      
Vardas247      Pavarde247     5      5      3      7      0      10     6      10     3      3      7      3      1      7      10     5      
Vardas248      Pavarde248     1      4      5      6      2      4      0      7      7      10     6      5      7      3      7      6      
Vardas249      Pavarde249     0      2      5      1      6      3      0      4      1      7      3      5      8      9      4      2      
Vardas250      Pavarde250     7      5      8      3      8      0      8      1      5      1      8      0      7      4      5      9      
Vardas251      Pavarde251     9      0      2      3      0      1      6      0      10     9      7      9      3      3      5      10     
Vardas252      Pavarde252     7      10     2      4      3      5      6      10     3      2      5      5      1      9      7      4      
Vardas253      Pavarde253     0      5      9      2      0      4      2      1      3      0      2      5      3      4      0      4      
Vardas254      Pavarde254     3      1      6      0      0      6      6      9      10     0      5      10     3      6      1      7      
Vardas255      Pavarde255     8      4      5      6      3      4      3      8      10     9      6      8      10     3      7      6      
Vardas256      Pavarde256     3      10     1      10     0      4      2      9      7      1      0      7      1      2      6      4      
Vardas257      Pavarde257     2      10     2      2      6      4      3      2      10     1      5      2      9      2      2      8      
Vardas258      Pavarde258     7      10     2      4      6      5      1      2      5      7      6      7      7      4      8      1      
Vardas259      Pavarde259     8      10     2      5      1      0      0      4      9      1      7      7      6      2      1      1      
Vardas260      Pavarde260     9      4      5      10     6      5      7      9      7      2      7      8      6      8      8      6      
Vardas261      Pavarde261     5      0      1      6      3      10     1      10     0      10     9      4      8      0      4      3      
Vardas262      Pavarde262     5      9      7      3      10     8      2      1      0      7      6      6      1      3      10     9      
Vardas263      Pavarde263     5      5      8      10     0      5      0      5      8      8      3      10     1      5      0      9      
Vardas264      Pavarde264     6      6      10     0      8      6      2      5      8      4      4      8      5      3      4      4      
Vardas265      Pavarde265     1      8      2      5      0      0      3      10     3      10     1      2      9      6      3      2      
Vardas266      Pavarde266     2      7      1      9      2      7      9      6      7      9      1      7      6      7      1      2      
Vardas267      Pavarde267     7      3      10     10     6      6      2      7      3      0      8      6      5      6      7      0      
Vardas268      Pavarde268     4      2      9      8      10     9      2      1      4      2      1      4      2      3      0      2      
Vardas269      Pavarde269     8      7      10     1      2      8      6      3      10     9      0      6      1      4      1      6      
Vardas270      Pavarde270     6      9      10     7      9      8      3      3      6      1      0      8      4      1      7      6      
Vardas271      Pavarde271     8      9      4      6      0      4      6      10     8      6      6      8      2      10     5      1      
Vardas272      Pavarde272     6      1      6      7      1      3      0      3      0      1      1      3      1      5      5      7      
Vardas273      Pavarde273     10     8      0      3      0      3      7      0      1      8      2      10     9      5      4      0      
Vardas274      Pavarde274     2      6      10     2      3      9      10     3      1      5      1      8      10     8      9      9      
Vardas275      Pavarde275     4      7      7      5      9      3      3      5      0      8      0      7      10     2      6      4      
Vardas276      Pavarde276     10     0      5      0      1      9      8      7      2      4      7      8      5      6      4      0      
Vardas277      Pavarde277     7      1      0      4      3      10     3      8      8      6      4      6      10     8      5      8      
Vardas278      Pavarde278     2      7      4      9      8      3      6      2      6      7      6      8      8      8      7      3      
Vardas279      Pavarde279     4      2      4      5      10     2      4      10     1      8      5      10     2      1      3      7      
Vardas280      Pavarde280     10     3      6      10     8      8      0      4      1      0      5      3      4      9      8      0      
Vardas281      Pavarde281     0      1      4      3      4      9      4      6      6      6      5      3      4      1      7      8      
Vardas282      Pavarde282     6      10     4      4      5      5      0      10     1      0      4      0      2      2      7      3      
Vardas283      Pavarde283     10     3      5      2      7      9      7      3      4      2      8      9      0      0      5      8      
Vardas284      Pavarde284     1      8      2      4      9      7      10     3      8      10     6      3      0      2      8      1      
Vardas285      Pavarde285     9      6      2      10     10     3      0      4      2      1      4      5      0      1      8      6      
Vardas286      Pavarde286     3      3      9      0      2      1      10     2      1      2      5      7      10     5      6      0      
Vardas287      Pavarde287     10     4      5      6      2      0      8      8      7      5      10     0      9      2      1      8      
Vardas288      Pavarde288     2      5      6      6      7      10     1      5      9      8      8      7      4      0      10     5      
Vardas289      Pavarde289     8      2      7      2      4      7      4      10     3      3      2      3      4      0      9      0      
Vardas290      Pavarde290     8      8      0      10     1      1      8      8      8      0      4      1      8      6      1      4      
Vardas291      Pavarde291     2      8      9      0      7      10     6      6      5      5      9      2      7      7      9      10     
Vardas292      Pavarde292     8      9      8      6      10     1      10     8      10     6      1      4      7      3      0      8      
Vardas293      Pavarde293     7      5      9      6      1      0      5      1      6      4      7      2      9      9      2      4      
Vardas294      Pavarde294     8      6      3      0      2      4      8      6      1      7      1      3      1      2      1      4      
Vardas295      Pavarde295     7      4      9      0      6      9      1      7      3      9      7      10     4      0      8      5      
Vardas296      Pavarde296     10     7      10     2      5      0      0      3      9      6      7      3      3      5      4      10     
Vardas297      Pavarde297     6      7      8      1      2      0      2      1      2      10     1      10     1      7      6      2      
Vardas298      Pavarde298     6      0      4      5      9      10     5      6      2      7      2      1      1      2      10     2      
Vardas299      Pavarde299     3      9      5      7      9      7      5      8      7      1      1      4      10     0      10     3      
Vardas300      Pavarde300     7      8      10     10     4      8      0      4      2      10     6      10     3      7      0      7      
Vardas301      Pavarde301     4      8      5      7      9      10     3      5      10     0      2      9      4      9      9      8      
